"Numéro cde";"Numéro facture";"Date facture";"Total TTC";"Total HT";TVA;Statut;payment
21622;20800;01/01/2025;56.800000;53.700000;3.100000;Livré;"Card via Stripe"
21623;20801;01/01/2025;17.750000;15.560000;2.190000;Livré;"Link via Stripe"
21624;20802;02/01/2025;20.650000;18.880000;1.770000;Livré;"Link via Stripe"
21625;20803;02/01/2025;59.800000;56.560000;3.240000;Livré;"Card via Stripe"
21626;20804;02/01/2025;71.000000;67.180000;3.820000;Livré;"Card via Stripe"
21627;20805;02/01/2025;59.000000;55.810000;3.190000;Livré;"Link via Stripe"
21634;20806;02/01/2025;10.950000;9.700000;1.250000;Expédié;"Card via Stripe"
19535;20807;02/01/2025;13.350000;12.260000;1.090000;Livré;Virement
21654;20808;03/01/2025;27.850000;23.210000;4.640000;Livré;"Link via Stripe"
21676;20809;03/01/2025;30.950000;29.960000;0.990000;Livré;"Card via Stripe"
21677;20810;04/01/2025;29.250000;27.150000;2.100000;Livré;"Link via Stripe"
21678;20811;04/01/2025;29.550000;27.320000;2.230000;Livré;"Link via Stripe"
21679;20812;04/01/2025;36.150000;33.880000;2.270000;Livré;"Card via Stripe"
21680;20813;04/01/2025;239.000000;231.630000;7.370000;Livré;"Card via Stripe"
21681;20814;05/01/2025;43.750000;40.780000;2.970000;Livré;"Link via Stripe"
21682;20815;05/01/2025;106.000000;100.430000;5.570000;Livré;"Card via Stripe"
21683;20816;05/01/2025;43.550000;40.710000;2.840000;Livré;"Link via Stripe"
21684;20817;05/01/2025;9.950000;9.130000;0.820000;Livré;"Link via Stripe"
21685;20818;05/01/2025;120.000000;118.840000;1.160000;Livré;"Card via Stripe"
21686;20819;05/01/2025;8.450000;7.620000;0.830000;Livré;"Card via Stripe"
21687;20820;06/01/2025;0.000000;0.000000;0.000000;Livré;Chèque
21688;20821;06/01/2025;0.000000;0.000000;0.000000;Livré;Chèque
21689;20822;06/01/2025;0.000000;0.000000;0.000000;Livré;Chèque
21690;20823;07/01/2025;39.650000;36.850000;2.800000;Livré;"Card via Stripe"
21692;20824;07/01/2025;26.850000;24.770000;2.080000;Expédié;"Card via Stripe"
21693;20825;07/01/2025;45.650000;41.790000;3.860000;Livré;"Link via Stripe"
21707;20826;08/01/2025;25.550000;23.520000;2.030000;Livré;"Card via Stripe"
21721;20827;08/01/2025;20.000000;18.490000;1.510000;Expédié;Chèque
21720;20828;08/01/2025;34.950000;32.450000;2.500000;Livré;Chèque
21719;20829;08/01/2025;100.000000;100.000000;0.000000;Livré;Chèque
21718;20830;08/01/2025;66.050000;61.920000;4.130000;Livré;Chèque
21717;20831;08/01/2025;39.850000;37.090000;2.760000;Livré;Chèque
21716;20832;08/01/2025;85.000000;80.570000;4.430000;Livré;Chèque
21715;20833;08/01/2025;30.000000;30.000000;0.000000;Livré;Chèque
21714;20834;08/01/2025;90.000000;90.000000;0.000000;Livré;Chèque
21713;20835;08/01/2025;50.000000;50.000000;0.000000;Livré;Chèque
21712;20836;08/01/2025;50.000000;50.000000;0.000000;Livré;Chèque
21711;20837;08/01/2025;10.000000;10.000000;0.000000;Livré;Chèque
21710;20838;08/01/2025;33.800000;32.330000;1.470000;Expédié;Chèque
21709;20839;08/01/2025;63.800000;62.310000;1.490000;Expédié;Chèque
21708;20840;08/01/2025;13.800000;12.400000;1.400000;Expédié;Chèque
21706;20841;08/01/2025;25.800000;25.800000;0.000000;Livré;Chèque
21705;20842;08/01/2025;213.800000;212.300000;1.500000;Expédié;Chèque
21704;20843;08/01/2025;13.800000;12.400000;1.400000;Expédié;Chèque
21703;20844;08/01/2025;50.000000;50.000000;0.000000;Livré;Chèque
21702;20845;08/01/2025;50.000000;50.000000;0.000000;Livré;Chèque
21701;20846;08/01/2025;20.000000;20.000000;0.000000;Livré;Chèque
21700;20847;08/01/2025;25.000000;23.020000;1.980000;Livré;Chèque
21699;20848;08/01/2025;109.650000;105.850000;3.800000;Livré;Chèque
21698;20849;08/01/2025;62.750000;57.080000;5.670000;Livré;Chèque
21697;20850;08/01/2025;5.950000;4.960000;0.990000;Livré;Chèque
21696;20851;08/01/2025;56.750000;53.110000;3.640000;Livré;Chèque
21695;20852;08/01/2025;159.750000;146.720000;13.030000;Livré;Chèque
21694;20853;08/01/2025;50.000000;50.000000;0.000000;Livré;Chèque
21675;20854;08/01/2025;20.000000;18.950000;1.050000;Livré;Chèque
21674;20855;08/01/2025;50.000000;50.000000;0.000000;Livré;Chèque
21673;20856;08/01/2025;35.000000;35.000000;0.000000;Livré;Chèque
21672;20857;08/01/2025;50.000000;50.000000;0.000000;Livré;Chèque
21671;20858;08/01/2025;100.000000;100.000000;0.000000;Livré;Chèque
21670;20859;08/01/2025;20.000000;20.000000;0.000000;Livré;Chèque
21669;20860;08/01/2025;20.000000;20.000000;0.000000;Livré;Chèque
21668;20861;08/01/2025;30.000000;30.000000;0.000000;Livré;Chèque
21667;20862;08/01/2025;20.000000;20.000000;0.000000;Livré;Chèque
21666;20863;08/01/2025;50.000000;50.000000;0.000000;Livré;Chèque
21665;20864;08/01/2025;100.000000;100.000000;0.000000;Livré;Chèque
21664;20865;08/01/2025;20.000000;18.960000;1.040000;Expédié;Chèque
21663;20866;08/01/2025;9.900000;9.380000;0.520000;Expédié;Chèque
21662;20867;08/01/2025;33.900000;32.420000;1.480000;Expédié;Chèque
21661;20868;08/01/2025;100.000000;96.930000;3.070000;Livré;Chèque
21660;20869;08/01/2025;38.800000;37.320000;1.480000;Expédié;Chèque
21659;20870;08/01/2025;113.800000;112.300000;1.500000;Expédié;Chèque
21658;20871;08/01/2025;13.800000;12.400000;1.400000;Expédié;Chèque
21657;20872;08/01/2025;63.800000;62.310000;1.490000;Expédié;Chèque
21656;20873;08/01/2025;23.800000;22.340000;1.460000;Expédié;Chèque
21655;20874;08/01/2025;43.600000;41.130000;2.470000;Livré;Chèque
21652;20875;08/01/2025;30.000000;28.530000;1.470000;Expédié;Chèque
21651;20876;08/01/2025;19.800000;18.760000;1.040000;Livré;Chèque
21650;20877;08/01/2025;23.800000;22.340000;1.460000;Expédié;Chèque
21649;20878;08/01/2025;30.000000;30.000000;0.000000;Livré;Chèque
21648;20879;08/01/2025;300.000000;300.000000;0.000000;Livré;Chèque
21647;20880;08/01/2025;50.000000;50.000000;0.000000;Livré;Chèque
21646;20881;08/01/2025;30.000000;30.000000;0.000000;Livré;Chèque
21645;20882;08/01/2025;500.000000;500.000000;0.000000;Livré;Chèque
21644;20883;08/01/2025;30.000000;30.000000;0.000000;Livré;Chèque
21643;20884;08/01/2025;30.000000;30.000000;0.000000;Livré;Chèque
21642;20885;08/01/2025;500.000000;500.000000;0.000000;Livré;Chèque
21641;20886;08/01/2025;60.000000;60.000000;0.000000;Livré;Chèque
21640;20887;08/01/2025;35.950000;34.440000;1.510000;Expédié;Chèque
21639;20888;08/01/2025;50.000000;46.980000;3.020000;Livré;Chèque
21638;20889;08/01/2025;45.950000;44.440000;1.510000;Expédié;Chèque
21637;20890;08/01/2025;87.450000;83.230000;4.220000;Livré;Chèque
21636;20891;08/01/2025;25.950000;23.920000;2.030000;Expédié;Chèque
21635;20892;08/01/2025;67.250000;63.060000;4.190000;Livré;Chèque
21633;20893;08/01/2025;100.000000;94.370000;5.630000;Livré;Chèque
21632;20894;08/01/2025;54.850000;51.310000;3.540000;Livré;Chèque
21631;20895;08/01/2025;110.500000;105.390000;5.110000;Livré;Chèque
21630;20896;08/01/2025;50.000000;47.730000;2.270000;Livré;Chèque
21629;20897;08/01/2025;15.850000;14.340000;1.510000;Livré;Chèque
21628;20898;08/01/2025;54.650000;51.110000;3.540000;Livré;Chèque
21526;20899;08/01/2025;100.000000;100.000000;0.000000;Livré;Chèque
21525;20900;08/01/2025;59.850000;54.480000;5.370000;Livré;Chèque
21524;20901;08/01/2025;49.650000;46.370000;3.280000;Livré;Chèque
21523;20902;08/01/2025;40.000000;37.860000;2.140000;Livré;Chèque
21522;20903;08/01/2025;15.750000;14.240000;1.510000;Livré;Chèque
21505;20904;08/01/2025;25.950000;23.910000;2.040000;Livré;Chèque
21722;20905;08/01/2025;40.750000;37.940000;2.810000;Livré;"Card via Stripe"
21723;20906;09/01/2025;0.000000;0.000000;0.000000;Expédié;Virement
21727;20907;09/01/2025;49.950000;47.970000;1.980000;Livré;"Card via Stripe"
21729;20908;09/01/2025;5.950000;4.960000;0.990000;Livré;"Card via Stripe"
21730;20909;09/01/2025;34.950000;32.450000;2.500000;Livré;"Card via Stripe"
21731;20910;09/01/2025;30.450000;28.160000;2.290000;Livré;"Card via Stripe"
21732;20911;09/01/2025;45.750000;38.120000;7.630000;Livré;"Card via Stripe"
21745;20912;10/01/2025;0.010000;0.010000;0.000000;Annulé;Virement
21747;20913;10/01/2025;53.500000;50.630000;2.870000;Livré;"Card via Stripe"
21748;20914;10/01/2025;20.850000;19.080000;1.770000;Livré;"Card via Stripe"
21749;20915;10/01/2025;158.800000;150.400000;8.400000;Livré;"Card via Stripe"
21750;20916;11/01/2025;30.850000;28.560000;2.290000;Livré;"Card via Stripe"
21751;20917;11/01/2025;16.900000;14.760000;2.140000;Livré;PayPal
21752;20918;11/01/2025;34.950000;32.450000;2.500000;Livré;"Card via Stripe"
21753;20919;11/01/2025;36.070000;36.070000;0.000000;Livré;"Card via Stripe"
21754;20920;11/01/2025;19.350000;17.950000;1.400000;Livré;"Card via Stripe"
21755;20921;11/01/2025;15.950000;14.440000;1.510000;Livré;"Card via Stripe"
21756;20922;11/01/2025;164.600000;158.500000;6.100000;Livré;"Card via Stripe"
21757;20923;12/01/2025;5.950000;4.960000;0.990000;Livré;"Card via Stripe"
21760;20924;12/01/2025;51.800000;43.160000;8.640000;Livré;"Link via Stripe"
21761;20925;12/01/2025;63.980000;63.980000;0.000000;Livré;"Link via Stripe"
21762;20926;12/01/2025;61.300000;55.080000;6.220000;Livré;"Card via Stripe"
21763;20927;13/01/2025;20.830000;19.060000;1.770000;Livré;"Card via Stripe"
21764;20928;13/01/2025;4.950000;4.130000;0.820000;Livré;"Card via Stripe"
21767;20929;13/01/2025;11.850000;10.550000;1.300000;Expédié;PayPal
21768;20930;14/01/2025;36.850000;35.550000;1.300000;Expédié;"Card via Stripe"
21759;20931;14/01/2025;30.750000;28.470000;2.280000;Livré;Virement
21772;20932;14/01/2025;55.000000;52.540000;2.460000;Livré;"Card via Stripe"
21733;20933;14/01/2025;20.000000;20.000000;0.000000;Livré;Espèces
21773;20934;14/01/2025;32.450000;30.060000;2.390000;Livré;"Link via Stripe"
21771;20935;14/01/2025;100.000000;100.000000;0.000000;Livré;Chèque
21770;20936;14/01/2025;40.750000;38.200000;2.550000;Livré;Chèque
21769;20937;14/01/2025;37.850000;36.240000;1.610000;Livré;Chèque
21766;20938;14/01/2025;13.800000;12.400000;1.400000;Expédié;Chèque
21765;20939;14/01/2025;300.000000;300.000000;0.000000;Expédié;Chèque
21741;20940;14/01/2025;0.000000;0.000000;0.000000;Expédié;Chèque
21740;20941;14/01/2025;31.650000;27.940000;3.710000;Livré;Chèque
21739;20942;14/01/2025;50.000000;50.000000;0.000000;Livré;Chèque
21738;20943;14/01/2025;50.000000;50.000000;0.000000;Livré;Chèque
21737;20944;14/01/2025;20.000000;20.000000;0.000000;Livré;Chèque
21736;20945;14/01/2025;153.800000;152.300000;1.500000;Expédié;Chèque
21735;20946;14/01/2025;50.000000;48.490000;1.510000;Expédié;Chèque
21734;20947;14/01/2025;36.000000;33.970000;2.030000;Livré;Chèque
21728;20948;14/01/2025;90.000000;88.500000;1.500000;Expédié;Chèque
21726;20949;14/01/2025;39.650000;36.900000;2.750000;Livré;Chèque
21725;20950;14/01/2025;66.450000;62.300000;4.150000;Livré;Chèque
21724;20951;14/01/2025;33.850000;31.410000;2.440000;Livré;Chèque
21774;20952;14/01/2025;13.350000;12.260000;1.090000;Livré;"Card via Stripe"
21776;20953;14/01/2025;15.950000;14.440000;1.510000;Expédié;"Link via Stripe"
21777;20954;15/01/2025;32.750000;30.360000;2.390000;Livré;"Card via Stripe"
21779;20955;15/01/2025;25.850000;23.820000;2.030000;Livré;"Card via Stripe"
21784;20956;15/01/2025;25.850000;23.820000;2.030000;Livré;"Card via Stripe"
21785;20957;15/01/2025;5.950000;4.960000;0.990000;Livré;"Link via Stripe"
21786;20958;15/01/2025;24.850000;22.990000;1.860000;Livré;"Card via Stripe"
21787;20959;16/01/2025;0.000000;0.000000;0.000000;Livré;Virement
21788;20960;16/01/2025;24.850000;22.990000;1.860000;Livré;PayPal
21789;20961;16/01/2025;70.000000;66.350000;3.650000;Livré;Chèque
21783;20962;16/01/2025;0.000000;0.000000;0.000000;Livré;Chèque
21782;20963;16/01/2025;38.800000;37.320000;1.480000;Expédié;Chèque
21781;20964;16/01/2025;30.000000;27.970000;2.030000;Livré;Chèque
21780;20965;16/01/2025;50.000000;50.000000;0.000000;Livré;Chèque
21778;20966;16/01/2025;30.000000;30.000000;0.000000;Livré;Chèque
21790;20967;16/01/2025;18.750000;17.210000;1.540000;Livré;PayPal
21791;20968;16/01/2025;17.750000;16.140000;1.610000;Livré;"Card via Stripe"
21792;20969;16/01/2025;10.850000;9.600000;1.250000;Expédié;"Card via Stripe"
21793;20970;17/01/2025;40.740000;40.740000;0.000000;Livré;PayPal
21794;20971;17/01/2025;11399.830000;10780.530000;619.300000;Livré;Virement
21795;20972;17/01/2025;20.850000;19.080000;1.770000;Livré;"Card via Stripe"
21796;20973;17/01/2025;71.000000;67.180000;3.820000;Livré;"Card via Stripe"
21798;20974;17/01/2025;25.850000;23.820000;2.030000;Livré;"Card via Stripe"
21799;20975;18/01/2025;10.250000;9.330000;0.920000;Livré;"Card via Stripe"
21800;20976;18/01/2025;19.750000;18.040000;1.710000;Livré;"Card via Stripe"
21802;20977;18/01/2025;30.950000;29.960000;0.990000;Livré;"Card via Stripe"
21803;20978;18/01/2025;17.750000;16.140000;1.610000;Livré;"Link via Stripe"
21804;20979;18/01/2025;24.850000;22.990000;1.860000;Livré;PayPal
21805;20980;19/01/2025;74.600000;71.890000;2.710000;Livré;"Link via Stripe"
21806;20981;19/01/2025;44.950000;42.050000;2.900000;Livré;"Link via Stripe"
21807;20982;19/01/2025;60.000000;56.750000;3.250000;Livré;"Card via Stripe"
21808;20983;19/01/2025;10.850000;9.600000;1.250000;Livré;"Link via Stripe"
21809;20984;19/01/2025;12.750000;11.410000;1.340000;Expédié;"Link via Stripe"
21810;20985;19/01/2025;54.550000;51.020000;3.530000;Livré;"Link via Stripe"
21811;20986;19/01/2025;13.350000;12.260000;1.090000;Livré;PayPal
21812;20987;19/01/2025;29.650000;27.420000;2.230000;Livré;"Card via Stripe"
21814;20988;19/01/2025;34.950000;32.450000;2.500000;Livré;"Card via Stripe"
21815;20989;19/01/2025;44.950000;39.130000;5.820000;Livré;PayPal
