"Numéro cde";"N° avoir";"Date avoir";"Total TTC";"Total HT"
21745;237;12/01/2025;0.010000;0.010000
21794;238;17/01/2025;623.128000;582.280000
13358;239;17/01/2025;143.132000;135.680000
14506;240;17/01/2025;179.081100;168.700000
11202;241;17/01/2025;3.960000;3.760000
11202;242;17/01/2025;11.000000;10.450000
14812;243;17/01/2025;221.760000;209.320000
15356;244;17/01/2025;74.800000;70.060000
18456;245;17/01/2025;116.600000;109.770000
16941;246;17/01/2025;39.600000;36.620000
21950;247;04/02/2025;21.850000;19.910000
21951;248;04/02/2025;1.000000;1.000000
21960;249;10/02/2025;30.950000;28.540000
22067;250;20/02/2025;613.340000;579.560000
6579;251;20/02/2025;47.520000;45.120000
11202;252;20/02/2025;13.200000;12.540000
14812;253;20/02/2025;63.360000;59.060000
18456;254;20/02/2025;26.454450;24.080000
21913;255;04/03/2025;9.500000;9.000000
22233;256;25/03/2025;911.925000;860.170000
21794;257;25/03/2025;211.068000;197.510000
14506;258;25/03/2025;25.344000;23.040000
21527;259;25/03/2025;61.160000;57.070000
14812;260;25/03/2025;95.040000;89.090000
22279;261;07/04/2025;11.115000;9.790000
22179;262;10/04/2025;39.000000;36.850000
22338;263;11/04/2025;6.000000;4.980000
22292;264;14/04/2025;42.943127;42.940000
22293;265;14/04/2025;40.289099;40.290000
