Fabricant;Produit;Reference;Quantité;Réel;Activé;"Prix Achat";"Prix Vente";"Total Achat";"Total Vente"
-;"(Edition annulée) Le Rosaire, les 20 mystères revisités - Version 2023";138-UNITE;0;;Non;0.00;9.38;0.00;0.00
-;"1000 Raisons de croire";163-UNITE;0;;Non;0.00;0.00;0.00;0.00
-;"Bernadette et Lourdes _ L'enquête";176-UNITE;79;;Oui;6.36;14.12;502.05;1115.73
-;"Bernadette ne nous a pas trompés";136-UNITE;319;;Oui;2.39;20.85;762.41;6652.13
-;"Bougie de neuvaine Marie qui défait les noeuds";128-UNITE;190;;Oui;2.04;5.00;388.26;950.00
-;"Bougies 100 étoiles pour Marie";113-UNITE;299;;Oui;0.44;1.67;131.56;498.33
-;"Bougies 100 étoiles pour Marie";113-UNITE;0;;Oui;0.44;1.67;0.00;0.00
-;"Bougies 100 étoiles pour Marie";113-UNITE;299;;Oui;0.44;1.67;131.56;498.33
-;"Calendrier de l'Avent Marie qui défait les Noeuds";168-UNITE;1298;;Oui;2.00;8.25;2596.00;10708.50
-;"Calendrier de Neuvaine à Saint Joseph pour la famille";188-UNITE;8;;Oui;0.33;6.58;2.67;52.67
-;"Calendrier de neuvaine à saint Louis et sainte Zélie Martin";186-UNITE;41;;Oui;0.33;6.58;13.69;269.92
-;"Calendrier de neuvaine à Sainte Marie-Madeleine apôtre des apôtres";187-UNITE;7;;Oui;0.33;6.58;2.34;46.08
-;"Calendrier de neuvaine au Bienheureux Carlo Acutis";222-UNITE;30;;Non;0.00;6.58;0.00;197.50
-;"Dieu est Amour (grands caractères)_encyclique de Benoît XVI";215-UNITE;40;;Oui;0.95;3.79;37.91;151.66
-;"Dieu, la Science, les preuves";109-UNITE;174;;Oui;13.65;22.75;2375.10;3958.29
-;"EDITION GRATUITE Neuvaine Marie qui défait les noeuds";164-GRATUIT;21677;;Non;0.00;0.00;0.00;0.00
-;"Et si c'était vrai ? La foi chrétienne à la loupe";139-UNITE;912;;Oui;2.04;20.85;1862.49;19018.01
-;"Flyers 100 étoiles";106-UNITE;-4;;Oui;0.00;0.00;0.00;0.00
-;"Flyers 100 étoiles";106-UNITE;0;;Oui;0.00;0.00;0.00;0.00
-;"Flyers 100 étoiles";106-UNITE;-4;;Oui;0.00;0.00;0.00;0.00
-;"Grande Bougie Marie qui défait les noeuds 18 cm";143-UNITE;0;;Non;0.00;0.00;0.00;0.00
-;"Il n'y a aucune erreur doctrinale dans les écrits de Maria Valtorta ?";160-UNITE;0;;Non;0.00;0.00;0.00;0.00
-;"J'apprends à parler avec Marie";133-UNITE;174;;Oui;6.28;13.74;1092.72;2391.47
-;"Je fais un don pour participer aux actions de la librairie missionnaire";DON;1897235;;Oui;0.00;1.00;0.00;1897235.00
-;"Je vous prépare aux temps nouveaux";207-UNITE;19;;Oui;5.12;11.37;97.25;216.11
-;"Joseph de Nazareth";220-UNITE;0;;Non;0.00;0.00;0.00;0.00
-;"Kit Merci Marie";129-KIT;760;;Non;0.00;4.17;0.00;3166.67
-;"L'apparition de la Très Sainte Vierge sur la Montagne de la Salette";208-UNITE;19;;Oui;2.09;4.64;39.62;88.25
-;"L'imitation de la bienheureuse Vierge Marie";173-UNITE;52;;Oui;3.80;8.44;197.60;438.67
-;"La dévotion réparatrice au Coeur immaculé de Marie";209-UNITE;0;;Non;0.00;6.54;0.00;0.00
-;"La folie du Totus Tuus";203-UNITE;19;;Oui;6.35;14.12;120.66;268.34
-;"La Force des Martyrs";132-UNITE;62;;Oui;9.35;18.01;579.58;1116.59
-;"La Médaille miraculeuse_Les apparitions de la rue du Bac";174-UNITE;56;;Oui;6.36;14.12;356.16;790.90
-;"La très belle histoire de l'apparition de Pontmain";213-UNITE;13;;Oui;5.75;12.80;74.80;166.35
-;"La très belle histoire de la Médaille Miraculeuse";205-UNITE;18;;Oui;5.75;12.80;103.56;230.33
-;"La très belle histoire de Notre Dame de Pellevoisin";212-UNITE;17;;Oui;5.75;12.80;97.81;217.54
-;"La très belle histoire de Notre-Dame de Lourdes";214-UNITE;16;;Oui;5.75;12.80;92.06;204.74
-;"La vie de la Vierge Marie dans l'art";202-UNITE;0;;Oui;12.37;27.49;0.00;0.00
-;"La Vierge de l'apocalypse";219-UNITE;0;;Non;0.00;0.00;0.00;0.00
-;"Le Rosaire, les 20 mystères revisités - Version 2023";153-UNITE;861;;Oui;3.36;11.37;2892.96;9793.37
-;"Le témoignage de Mirjana: Mon cœur triomphera";201-UNITE;17;;Oui;8.49;18.86;144.38;320.66
-;"Les apparitions de Versailles";210-UNITE;13;;Oui;2.77;6.16;35.98;80.09
-;"Les carmélites de Compiègne Martyres de la révolution";177-UNITE;65;;Oui;0.33;15.07;21.70;979.62
-;"Les travers de la zététique _réponse au livre de Thomas Durand";158-UNITE;211;;Oui;1.15;22.75;241.81;4800.00
-;"Magazine 1000 raisons de croire";185-UNITE;840;;Oui;0.00;4.64;0.00;3901.42
-;"Magazine 1000 raisons de croire";185-UNITE;10;;Oui;0.00;4.64;0.00;46.45
-;"Magazine 1000 raisons de croire";185-UNITE;830;;Oui;0.00;4.64;0.00;3854.98
-;"Magazine Ave Maria";135-GRATUIT;1103;;Oui;0.00;0.00;0.00;0.00
-;"Magazine Ave Maria";135-GRATUIT;17;;Oui;0.00;0.00;0.00;0.00
-;"Magazine Ave Maria";135-GRATUIT;0;;Oui;0.00;0.00;0.00;0.00
-;"Magazine Ave Maria";135-GRATUIT;0;;Oui;0.00;0.00;0.00;0.00
-;"Magazine Ave Maria";135-GRATUIT;141;;Oui;0.00;0.00;0.00;0.00
-;"Magazine Ave Maria";135-GRATUIT;125;;Oui;0.00;0.00;0.00;0.00
-;"Magazine Ave Maria";135-GRATUIT;27;;Oui;0.00;0.00;0.00;0.00
-;"Magazine Ave Maria";135-GRATUIT;66;;Oui;0.00;0.00;0.00;0.00
-;"Magazine Ave Maria";135-GRATUIT;19;;Oui;0.00;0.00;0.00;0.00
-;"Magazine Ave Maria";135-GRATUIT;19;;Oui;0.00;0.00;0.00;0.00
-;"Magazine Ave Maria";135-GRATUIT;66;;Oui;0.00;0.00;0.00;0.00
-;"Magazine Ave Maria";135-GRATUIT;332;;Oui;0.00;0.00;0.00;0.00
-;"Magazine Ave Maria";135-GRATUIT;88;;Oui;0.00;0.00;0.00;0.00
-;"Magazine Ave Maria";135-GRATUIT;121;;Oui;0.00;0.00;0.00;0.00
-;"Magazine Ave Maria";135-GRATUIT;-5;;Oui;0.00;0.00;0.00;0.00
-;"Magazine Ave Maria";135-GRATUIT;87;;Oui;0.00;0.00;0.00;0.00
-;"Marie de Nazareth";197-UNITE;25;;Oui;0.33;15.07;8.35;376.78
-;"Marie des écritures";183-UNITE;45;;Oui;6.75;16.87;303.75;759.24
-;"Marie, mon secret";180-UNITE;4;;Oui;4.05;9.00;16.20;36.02
-;"Médaille Miraculeuse en aluminium blanc";200-UNITE;84;;Non;0.00;0.83;0.00;70.00
-;"Médaille Miraculeuse en aluminium couleur or";199-UNITE;47;;Oui;0.33;0.83;15.69;39.17
-;"Méditations sur Marie";181-UNITE;16;;Oui;1.90;4.74;30.40;75.83
-;"Méditer la parole avec la Vierge Marie";193-UNITE;80;;Oui;2.39;4.64;191.52;371.56
-;"Neuvaine à la Miséricorde Divine";146-UNITE;283;;Oui;0.65;4.74;183.16;1341.23
-;"Neuvaine à Marie qui Défait les Nœuds - pack complet avec Bougie de Neuvaine";195-UNITE;7;;Oui;0.33;8.25;2.34;57.75
-;"Neuvaine à Marie qui Défait les Nœuds édition reliée et enluminée - pack complet avec Bougie de Neuvaine";198-UNITE;12;;Oui;0.33;19.08;4.01;229.00
-;"Neuvaine à Marie Reine des Coeurs";142-UNITE;381;;Oui;2.70;4.74;1027.56;1805.69
-;"Neuvaine à Notre Dame de Guadalupe";170-UNITE;0;;Non;0.00;4.74;0.00;0.00
-;"Neuvaine à Padre Pio";148-UNITE;405;;Oui;0.33;4.74;135.23;1919.43
-;"Neuvaine à Saint Antoine de Padoue";145-UNITE;392;;Oui;0.77;4.74;302.23;1857.82
-;"Neuvaine à Saint Jean Paul II _Témoin de la présence de Marie dans la vie de l’Église";182-UNITE;463;;Oui;0.33;4.74;154.36;2194.31
-;"Neuvaine à sainte Bakhita";190-UNITE;0;;Non;0.00;4.74;0.00;0.00
-;"Neuvaine à Saints Louis et Zélie Martin";147-UNITE;0;;Non;0.00;4.74;0.00;0.00
-;"Neuvaine à Soeur Joséfa Menendèz";172-UNITE;343;;Oui;0.85;4.74;291.10;1625.59
-;"Neuvaine à Thomas d'Aquin";217-UNITE;0;;Non;0.00;0.00;0.00;0.00
-;"Neuvaine au Curé d'Ars";162-UNITE;0;;Non;0.00;0.00;0.00;0.00
-;"Neuvaine au précieux sang de Jésus";216-UNITE;0;;Non;0.00;0.00;0.00;0.00
-;"Neuvaine intégrale Marie qui défait les noeuds reliée et enluminée";141-UNITE;840;;Oui;2.52;18.01;2118.48;15127.96
-;"Neuvaine Marie qui défait les noeuds pour le travail _édition 2023";165-UNITE;0;;Non;0.00;4.74;0.00;0.00
-;"Neuvaine Marie qui défait les noeuds _ version enfant";218-UNITE;0;;Non;0.00;0.00;0.00;0.00
-;"Neuvaine Marie qui défait les nœuds pour les couples";169-UNITE;2523;;Oui;0.39;4.74;981.45;11957.34
-;"Neuvaine pour l'unité des Chrétiens";189-UNITE;527;;Oui;0.33;4.74;175.97;2497.63
-;"Neuvaine Prions Marie pour la paix";134-UNITE;1132;;Oui;0.39;4.74;437.86;5364.93
-;"Notre Histoire avec Marie_édition augmentée";167-UNITE;0;;Non;0.00;27.49;0.00;0.00
-;"Notre-Dame du Mont Carmel et son scapulaire";211-UNITE;17;;Oui;4.05;9.00;68.81;153.08
-;"Oeuvres complètes de St Louis-Marie Grignion de Montfort";204-UNITE;10;;Oui;33.70;74.88;336.97;748.82
-;"Paroles de Marie.....Paroles de Jésus !";206-UNITE;15;;Oui;7.25;16.11;108.77;241.71
-;"Pourquoi la vierge Marie agit dans le monde aujourd'hui";221-UNITE;0;;Non;0.00;0.00;0.00;0.00
-;"Présence de Marie";184-UNITE;44;;Oui;7.58;18.96;333.52;834.12
-;"Puzzle Marie qui défait les Noeuds";192-UNITE;0;;Non;0.00;16.58;0.00;0.00
-;"Réponse à Jean Staune ??";159-UNITE;0;;Non;0.00;0.00;0.00;0.00
-;"Rosaire de la vierge Marie en l'honneur du Saint Pape Jean Paul II";194-UNITE;47;;Oui;0.33;4.27;15.69;200.47
-;"Signet à la Miséricorde Divine";155-UNITE;182;;Oui;0.12;0.83;22.64;151.67
-;"Signet à la Miséricorde Divine";155-UNITE;42;;Oui;0.12;0.83;5.22;35.00
-;"Signet à la Miséricorde Divine";155-UNITE;140;;Oui;0.12;0.83;17.42;116.67
-;"Signet Marie qui défait les Noeuds ""Nouvelle version""";151-UNITE;20250;;Oui;0.12;0.83;2519.10;16874.99
-;"Signet Marie qui défait les Noeuds ""Nouvelle version""";151-UNITE;50;;Oui;0.12;0.83;6.22;41.67
-;"Signet Marie qui défait les Noeuds ""Nouvelle version""";151-UNITE;20200;;Oui;0.12;0.83;2512.88;16833.33
-;"Soyez rationnel, devenez catholique";116-UNITE;510;;Oui;3.20;22.75;1632.00;11601.90
-;"Soyez rationnel, devenez catholique ""Edition abrégée""";152-UNITE;792;;Oui;1.41;15.17;1116.72;12011.37
-;"Soyez rationnel, devenez catholique_version missionnaire";191-UNITE;0;;Non;0.00;8.44;0.00;0.00
-;"Traité de la vrai dévotion à la Sainte Vierge";154-UNITE;0;;Non;0.00;4.64;0.00;0.00
-;"Trésors de la spiritualité chrétienne: la Vierge Marie";179-UNITE;84;;Oui;6.36;14.12;533.82;1186.35
-;"Unité - Flyers 100 étoiles";108-UNITE;0;;Non;0.00;0.00;0.00;0.00
-;"Vie intérieure de la très sainte Vierge";178-UNITE;24;;Oui;4.05;9.00;97.20;216.11
"Marie qui défait les noeuds";"10 Stuck Packungen (AL)";66-LOT10;51;;Oui;0.02;8.33;1.02;425.00
"Marie qui défait les noeuds";"Affichette format A2";46-UNITE;63;;Non;0.00;24.58;0.00;1548.75
"Marie qui défait les noeuds";"Affichette format A3";45-UNITE;115;;Non;0.00;11.25;0.00;1293.75
"Marie qui défait les noeuds";"Affichette format A4";32-UNITE;0;;Non;0.00;1.92;0.00;0.00
"Marie qui défait les noeuds";"Carte postale";52-UNITE;0;;Non;0.06;1.25;0.00;0.00
"Marie qui défait les noeuds";"Cartoloina Maria che scioglie i nodi (IT)";69-UNITE;858;;Oui;0.10;1.25;85.80;1072.50
"Marie qui défait les noeuds";"CD - prier le chapelet";56-UNITE;138;;Oui;5.58;7.50;770.04;1035.00
"Marie qui défait les noeuds";"Chapelet blanc en nylon";120-UNITE;133;;Oui;0.12;1.25;15.96;166.25
"Marie qui défait les noeuds";"Chapelet en bois verni";47-UNITE;0;;Non;3.98;5.00;0.00;0.00
"Marie qui défait les noeuds";"Grande Médaille dorée Marie qui défait les Nœuds - 30 mm";62-UNITE;141;;Oui;0.39;4.17;54.99;587.50
"Marie qui défait les noeuds";"Le livre de Saint Joseph - Le saint du XXIème siècle";53-UNITE;2916;;Oui;0.10;5.69;291.60;16583.89
