id_order;reference;id_shop_group;id_shop;id_carrier;id_lang;id_customer;id_cart;id_currency;id_address_delivery;id_address_invoice;current_state;secure_key;payment;conversion_rate;module;recyclable;gift;gift_message;mobile_theme;shipping_number;total_discounts;total_discounts_tax_incl;total_discounts_tax_excl;total_paid;total_paid_tax_incl;total_paid_tax_excl;total_paid_real;total_products;total_products_wt;total_shipping;total_shipping_tax_incl;total_shipping_tax_excl;carrier_tax_rate;total_wrapping;total_wrapping_tax_incl;total_wrapping_tax_excl;round_mode;round_type;invoice_number;delivery_number;invoice_date;delivery_date;valid;date_add;date_upd;exported
6607;RAKLAQIPZ;1;1;42;1;6339;12754;1;6679;6679;5;*******************;Chèque;1.000000;ps_checkpayment;0;1;"2020 MQDN";0;;0.000000;0.000000;0.000000;15.000000;15.000000;12.500000;15.000000;12.500000;15.000000;0.000000;0.000000;0.000000;20.000;0.000000;0.000000;0.000000;2;2;0;6392;"0000-00-00 00:00:00";"2022-03-02 14:17:25";0;"2022-02-28 09:44:02";"2022-03-12 16:30:13";
6609;OSEOZTFEZ;1;1;40;1;6341;12767;1;6682;6682;5;*******************;Chèque;1.000000;ps_checkpayment;0;1;14919;0;;0.000000;0.000000;0.000000;6.800000;6.800000;6.186667;6.800000;4.270000;4.500000;2.300000;2.300000;1.916667;20.000;0.000000;0.000000;0.000000;2;2;0;6391;"0000-00-00 00:00:00";"2022-03-02 14:17:25";0;"2022-03-01 13:15:47";"2022-03-05 22:21:52";
6610;SVOMYXXVO;1;1;42;1;2229;12768;1;2334;2334;5;*******************;Chèque;1.000000;ps_checkpayment;0;1;14919;0;;0.000000;0.000000;0.000000;47.000000;47.000000;41.486667;47.000000;39.570000;44.700000;2.300000;2.300000;1.916667;20.000;0.000000;0.000000;0.000000;2;2;0;6390;"0000-00-00 00:00:00";"2022-03-02 14:17:25";0;"2022-03-01 13:17:28";"2022-03-12 14:30:12";
6611;WTJPOSDFY;1;1;42;1;6323;12773;1;6662;6662;5;*******************;Chèque;1.000000;ps_checkpayment;0;1;14923;0;;0.000000;0.000000;0.000000;33.900000;33.900000;31.573333;33.900000;27.490000;29.000000;4.900000;4.900000;4.083333;20.000;0.000000;0.000000;0.000000;2;2;0;6389;"0000-00-00 00:00:00";"2022-03-02 14:17:24";0;"2022-03-01 13:24:28";"2022-03-12 12:30:19";
6615;XNMLDVIUX;1;1;40;1;6347;12780;1;6687;6687;5;*******************;Chèque;1.000000;ps_checkpayment;0;1;"2020 MQDN";0;;0.000000;0.000000;0.000000;23.550000;23.550000;21.908333;23.550000;18.950000;20.000000;3.550000;3.550000;2.958333;20.000;0.000000;0.000000;0.000000;2;2;0;6388;"0000-00-00 00:00:00";"2022-03-02 14:17:24";0;"2022-03-02 10:21:34";"2022-03-05 22:21:47";
6616;CDBKWGCRK;1;1;42;1;6348;12781;1;6688;6688;5;*******************;Chèque;1.000000;ps_checkpayment;0;1;"2020 MQDN";0;;0.000000;0.000000;0.000000;59.500000;59.500000;55.996667;59.500000;53.080000;56.000000;3.500000;3.500000;2.916667;20.000;0.000000;0.000000;0.000000;2;2;0;6461;"0000-00-00 00:00:00";"2022-03-09 14:37:18";0;"2022-03-02 10:29:09";"2022-04-11 12:30:25";
6617;JXGUUHEYM;1;1;40;1;6349;12782;1;6689;6689;5;*******************;Chèque;1.000000;ps_checkpayment;0;1;"2017 La Vie";0;;0.000000;0.000000;0.000000;17.950000;17.950000;16.795000;17.950000;15.170000;16.000000;1.950000;1.950000;1.625000;20.000;0.000000;0.000000;0.000000;2;2;0;6387;"0000-00-00 00:00:00";"2022-03-02 14:17:24";0;"2022-03-02 10:59:12";"2022-03-05 22:21:46";
6618;RDPPHQXGU;1;1;40;1;6350;12783;1;6690;6690;5;*******************;Chèque;1.000000;ps_checkpayment;0;1;"2020 MQDN";0;;0.000000;0.000000;0.000000;10.050000;10.050000;9.288333;10.050000;7.580000;8.000000;2.050000;2.050000;1.708333;20.000;0.000000;0.000000;0.000000;2;2;0;6386;"0000-00-00 00:00:00";"2022-03-02 14:17:24";0;"2022-03-02 11:05:41";"2022-03-05 22:21:52";
6619;BXRHRICWL;1;1;40;1;6351;12784;1;6691;6691;5;*******************;Chèque;1.000000;ps_checkpayment;0;1;"MM 2018 - paro";0;;0.000000;0.000000;0.000000;6.050000;6.050000;5.498333;6.050000;3.790000;4.000000;2.050000;2.050000;1.708333;20.000;0.000000;0.000000;0.000000;2;2;0;6385;"0000-00-00 00:00:00";"2022-03-02 14:17:24";0;"2022-03-02 11:13:41";"2022-03-05 22:21:52";
6620;LWDYBPAEB;1;1;40;1;6352;12785;1;6692;6692;5;*******************;Chèque;1.000000;ps_checkpayment;0;1;"2017 La Vie";0;;0.000000;0.000000;0.000000;5.950000;5.950000;5.415000;5.950000;3.790000;4.000000;1.950000;1.950000;1.625000;20.000;0.000000;0.000000;0.000000;2;2;0;6384;"0000-00-00 00:00:00";"2022-03-02 14:17:24";0;"2022-03-02 11:17:26";"2022-03-05 22:21:46";
