product_id;product_name;"Total offerts";"Prix d'achat";"Prix unitaire HT";"Prix total HT";gift_message
185;"Magazine 1000 raisons de croire - N° Mag 1000 Raisons de croire : N°1 : Si tu existes, envoie-moi un signe !";26;0.000000;4.644550;120.758300;FR-GRATUIT-CMD
180;"Marie, mon secret";1;4.050000;9.004739;9.004739;FR-GRATUIT-CMD
176;"Bernadette et Lourdes _ L'enquête";1;6.355000;14.123223;14.123223;FR-GRATUIT-CMD
172;"Neuvaine à Soeur Joséfa Menendèz";100;0.848700;4.739336;473.933600;
168;"Calendrier de l'Avent Marie qui défait les Noeuds";5;2.000000;8.250000;41.250000;
164;"EDITION GRATUITE Neuvaine Marie qui défait les noeuds";3809;0.000000;0.000000;0.000000;FR-GRATUIT-CMD
157;"Affiche A4 Marie qui défait les Noeuds - Nouvelle version -  : Unité";1;0.194000;2.500000;2.500000;FR-GRATUIT-CMD
152;"Soyez rationnel, devenez catholique ""Edition abrégée""";46;1.410000;15.165877;697.630342;FR-GRATUIT-CMD
148;"Neuvaine à Padre Pio";25;0.333900;4.739336;118.483400;
146;"Neuvaine à la Miséricorde Divine";12;0.647200;4.739336;56.872032;FR-GRATUIT-CMD
145;"Neuvaine à Saint Antoine de Padoue";10;0.771000;4.739336;47.393360;FR-GRATUIT-CMD
144;"EDITION GRATUITE Marie et la France -Edition Notre Dame de Paris";201;0.610000;0.000000;0.000000;FR-GRATUIT-CMD
142;"Neuvaine à Marie Reine des Coeurs";5;2.697000;4.739336;23.696680;FR-GRATUIT-CMD
141;"Neuvaine intégrale Marie qui défait les noeuds reliée et enluminée";111;2.522000;18.009479;1999.052169;FR-GRATUIT-CMD
140;"Neuvaine à Marie qui défait les noeuds - Version originale 2022";21;0.000000;4.739336;99.526056;FR-GRATUIT-CMD
139;"Et si c'était vrai ? La foi chrétienne à la loupe";193;2.042199;20.853081;4024.644633;FR-GRATUIT-CMD
136;"Bernadette ne nous a pas trompés";73;2.390000;20.853081;1522.274913;FR-GRATUIT-CMD
135;"Magazine Ave Maria - N° Ave Maria : 73 : Marie et Jeanne, les deux patronnes qui veillent sur la France";33;0.000000;0.000000;0.000000;FR-GRATUIT-CMD
135;"Magazine Ave Maria - N° Ave Maria : 71 : Jésus, fils de Joseph";22;0.000000;0.000000;0.000000;FR-GRATUIT-CMD
135;"Magazine Ave Maria - N° Ave Maria : 69 : Retrouvons nos racines !";2;0.000000;0.000000;0.000000;
135;"Magazine Ave Maria - N° Ave Maria : 68 : France, royaume de Marie !";153;0.000000;0.000000;0.000000;FR-GRATUIT-CMD
135;"Magazine Ave Maria - N° Ave Maria : 67 : 2021... année de Saint Joseph";1;0.000000;0.000000;0.000000;
135;"Magazine Ave Maria - N° Ave Maria : 66 : Elle est passée chez vous !";1;0.000000;0.000000;0.000000;FR-NLPATRON-CMD-
135;"Magazine Ave Maria - N° Ave Maria : 65 : Elle a pris les devants, notre reine !";83;0.000000;0.000000;0.000000;FR-GRATUIT-CMD
135;"Magazine Ave Maria - N° Ave Maria : 77 : Bernadette ne nous a pas trompés !";367;0.000000;0.000000;0.000000;FR-GRATUIT-CMD
135;"Magazine Ave Maria - N° Ave Maria : 78 : ""Fais moi connaître""";211;0.000000;0.000000;0.000000;FR-GRATUIT-CMD
135;"Magazine Ave Maria - N° Ave Maria : 79 : L'Église, notre héritage";179;0.000000;0.000000;0.000000;
135;"Magazine Ave Maria - N° Ave Maria : 80 : Publions les merveilles de Dieu !";298;0.000000;0.000000;0.000000;FR-UMM-CMD
134;"Neuvaine Prions Marie pour la paix";5;0.386800;4.739336;23.696680;FR-GRATUIT-CMD
132;"La Force des Martyrs";4;9.348000;18.009479;72.037916;FR-GRATUIT-CMD
131;"Neuvaine à Notre Dame de la Médaille Miraculeuse";6;0.848750;4.739336;28.436016;FR-GRATUIT-CMD
130;"Neuvaine à St Joseph pour préparer Noël en méditant les mystères de l'Avent";3;0.848700;4.739336;14.218008;FR-GRATUIT-CMD
128;"Bougie de neuvaine Marie qui défait les noeuds";2;2.043499;5.000000;10.000000;FR-GRATUIT-CMD
124;"Neuvaine à l'Archange Saint Michel";133;0.781600;4.739336;630.331688;FR-GRATUIT-CMD
123;"Neuvaine Marie qui défait les nœuds de la maladie - Version 2022";63;0.664000;4.739336;298.578168;FR-GRATUIT-CMD
