id_product;product_name;Description;Détails;reference;ean13;isbn;price_ht;price_ttc;wholesale_price;weight;tax_rate;Editeur;combination_attributes;categories;image_urls;stock_quantity_total;active;date_add;date_upd
21;"Marie et la France - Un lien extraordinaire à redécouvrir";"<p>Qui pourrait nier que les racines de la France plongent profondément dans les fonts baptismaux de Reims ?</p>
<p>Le livre Marie et la France a pour but de faire redécouvrir notre passé et la richesse de l’héritage marial et chrétien de la France ainsi que les fondements de la vocation mariale de la « Fille aînée de l’Église ».</p>
<p>Soyez missionnaire, achetez un lot !</p>";"<p>68 pages illustrées, format A5</p>
<p>4ème édition</p>";21-UNITE;9782491255299;978-2-491255-29-9;7.393365;7.80;0.610000;0.125000;5.500;"MDN Productions";"Quantité - Unité";"Accueil, Livres, Marie, Mission";"https://editions.mariedenazareth.com/img/p/3/0//30.jpg, https://editions.mariedenazareth.com/img/p/3/1//31.jpg, https://editions.mariedenazareth.com/img/p/3/9/9/399.jpg, https://editions.mariedenazareth.com/img/p/4/0/0/400.jpg, https://editions.mariedenazareth.com/img/p/4/0/1/401.jpg, https://editions.mariedenazareth.com/img/p/4/0/2/402.jpg";25;0;"2020-04-10 18:36:51";"2025-07-03 09:43:06"
21;"Marie et la France - Un lien extraordinaire à redécouvrir";"<p>Qui pourrait nier que les racines de la France plongent profondément dans les fonts baptismaux de Reims ?</p>
<p>Le livre Marie et la France a pour but de faire redécouvrir notre passé et la richesse de l’héritage marial et chrétien de la France ainsi que les fondements de la vocation mariale de la « Fille aînée de l’Église ».</p>
<p>Soyez missionnaire, achetez un lot !</p>";"<p>68 pages illustrées, format A5</p>
<p>4ème édition</p>";21-LOT10;9782491255282;978-2-491255-28-2;47.582938;50.20;6.000000;1.250000;5.500;"MDN Productions";"Quantité - Lot de 10 (-30%)";"Accueil, Livres, Marie, Mission";"https://editions.mariedenazareth.com/img/p/3/0//30.jpg, https://editions.mariedenazareth.com/img/p/3/1//31.jpg, https://editions.mariedenazareth.com/img/p/3/9/9/399.jpg, https://editions.mariedenazareth.com/img/p/4/0/0/400.jpg, https://editions.mariedenazareth.com/img/p/4/0/1/401.jpg, https://editions.mariedenazareth.com/img/p/4/0/2/402.jpg";157;0;"2020-04-10 18:36:51";"2025-07-03 09:43:06"
22;"(plus utilisé) Lot de 10 livrets MARIE ET LA FRANCE - port offert";"<p>Marie et la France, un lien extraordinaire à redécouvrir</p>
<p>Un livret pour DEVENIR MISSIONNAIRE et faire redécouvrir autour de vous le lien extraordinaire entre Marie et la France</p>
<p></p>";"<p>Ce petit livre « Marie et la France » a pour but de faire redécouvrir notre passé pour aider à construire un avenir solide sur le roc du Christ en rappelant tous ces épisodes magnifiques qui ont tissé l’histoire chrétienne de la France et qui ne sont malheureusement plus enseignés à l’école, ni pris en compte dans les manuels d’histoire, dans les médias et dans l’histoire officielle.<br />Pour en savoir plus : <a href=""https://www.youtube.com/watch?v=p4bYiEKbGME&amp;t=28s"">voir la vidéo</a></p>";21-LOT10;9782491255282;978-2-491255-28-2;54.976303;58.00;6.100000;10.000000;5.500;"MDN Productions";;"Accueil, Mission";"https://editions.mariedenazareth.com/img/p/3/3//33.jpg, https://editions.mariedenazareth.com/img/p/3/4//34.jpg, https://editions.mariedenazareth.com/img/p/3/5//35.jpg, https://editions.mariedenazareth.com/img/p/3/6//36.jpg";0;0;"2020-01-01 18:38:59";"2025-07-07 14:58:05"
23;"Joseph, modèle de vie - Si important pour notre temps";"<p>Ce livre de 121 pages, magnifiquement illustré et documenté, souhaite vous faire découvrir le mystère de saint Joseph.</p>
<p>Pourquoi Dieu lui a-t-il confié ses plus grands trésors : Jésus, Marie, l’Église et chacun d’entre nous ?</p>
<p>Il est temps de mettre en lumière la beauté, la grandeur et le grand mystère de celui en qui certains mystiques voyaient le saint du IIIe millénaire.</p>
<p>Soyez missionnaire, achetez un lot !</p>";"<p>121 pages illustrées, format A5</p>
<p>2ème édition</p>";23-LOT10;9782491255268;978-2-491255-26-8;56.113744;59.20;6.000000;2.190000;5.500;"MDN Productions";"Quantité - Lot de 10 (-30%)";"Accueil, Livres, Mission, Saints & mystiques";"https://editions.mariedenazareth.com/img/p/4/0/3/403.jpg, https://editions.mariedenazareth.com/img/p/4/0/4/404.jpg, https://editions.mariedenazareth.com/img/p/4/0/5/405.jpg, https://editions.mariedenazareth.com/img/p/4/0/6/406.jpg, https://editions.mariedenazareth.com/img/p/4/0/7/407.jpg, https://editions.mariedenazareth.com/img/p/5/2//52.jpg";215;1;"2020-04-14 18:27:30";"2025-07-03 09:44:10"
23;"Joseph, modèle de vie - Si important pour notre temps";"<p>Ce livre de 121 pages, magnifiquement illustré et documenté, souhaite vous faire découvrir le mystère de saint Joseph.</p>
<p>Pourquoi Dieu lui a-t-il confié ses plus grands trésors : Jésus, Marie, l’Église et chacun d’entre nous ?</p>
<p>Il est temps de mettre en lumière la beauté, la grandeur et le grand mystère de celui en qui certains mystiques voyaient le saint du IIIe millénaire.</p>
<p>Soyez missionnaire, achetez un lot !</p>";"<p>121 pages illustrées, format A5</p>
<p>2ème édition</p>";23-UNITE;9782491255275;978-2-491255-27-5;8.341232;8.80;0.563670;0.219000;5.500;"MDN Productions";"Quantité - Unité";"Accueil, Livres, Mission, Saints & mystiques";"https://editions.mariedenazareth.com/img/p/4/0/3/403.jpg, https://editions.mariedenazareth.com/img/p/4/0/4/404.jpg, https://editions.mariedenazareth.com/img/p/4/0/5/405.jpg, https://editions.mariedenazareth.com/img/p/4/0/6/406.jpg, https://editions.mariedenazareth.com/img/p/4/0/7/407.jpg, https://editions.mariedenazareth.com/img/p/5/2//52.jpg";2227;1;"2020-04-14 18:27:30";"2025-07-03 09:44:10"
24;"(plus utilisé) Lot de 10 livrets JOSEPH MODELE DE VIE - port offert";"<p>Joseph modèle de vie, secret si important pour notre temps. Un livret pour DEVENIR MISSIONNAIRE et faire redécouvrir pourquoi Dieu lui a confié ses plus grands trésors.</p>";"<p>Ce livret de 121 pages, magnifiquement illustré et documenté, souhaite vous faire découvrir le mystère de saint Joseph.</p>
<p>Pourquoi Dieu lui a-t-il confié ses plus grands trésors : Jésus, Marie, l'Église et chacun d'entre nous ? Comment et pourquoi doit-il être un père et un repère essentiel dans notre monde particulièrement déboussolé ? Il est temps de mettre en lumière la beauté, la grandeur et le grand mystère de celui en qui certains mystiques voyaient le saint du IIIe millénaire.</p>
<p>Comment devenir missionnaire ?</p>
<p>Il est urgent que nous nous mettions TOUS à l'école de saint Joseph... Soyez missionnaire ! Commandez un lot de dix livrets et distribuez-les autour de vous.</p>";24-LOT10;9782491255268;978-2-491255-26-8;64.454976;68.00;6.100000;10.000000;5.500;"MDN Productions";;"Accueil, Mission";"https://editions.mariedenazareth.com/img/p/4/5//45.jpg, https://editions.mariedenazareth.com/img/p/4/6//46.jpg, https://editions.mariedenazareth.com/img/p/4/7//47.jpg";0;0;"2019-04-14 18:27:57";"2025-07-07 14:58:05"
25;"(plus utilisé) Lot de 10 livrets - LUMIÈRE DU MONDE - port offert";"<p>LUMIÈRE DU MONDE - La beauté de l'Église et le génie catholique</p>
<p>Un livret pour DEVENIR MISSIONNAIRE et faire redécouvrir autour de vous le beauté de l'Eglise</p>";"<p style=""margin:0px;font-size:15px;color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""><span style=""color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""><span style=""font-size:15px;"">Jésus n’a rien écrit, n’a rien construit, n’a pas fondé de royaume terrestre…</span></span></p>
<p style=""margin:0px;font-size:15px;color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""></p>
<p style=""margin:0px;font-size:15px;color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""><span style=""color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""><span style=""font-size:15px;"">LUMIÈRE DU MONDE explique que l’Église est le seul héritage que Jésus-Christ nous a laissé et montre qu'il est TEMPS de faire renaître l’Amour de Son Église.</span></span></p>
<p style=""margin:0px;font-size:15px;color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""><span style=""color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""><span style=""font-size:15px;"">Le livre « LUMIÈRE DU MONDE - La beauté de l'Église et le génie catholique » vous propose de :</span></span></p>
<p style=""margin:0px;font-size:15px;color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""></p>
<p style=""margin:0px;font-size:15px;color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""><span style=""color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""><span style=""font-size:15px;"">I. Comprendre comment l’Église « colonne et support de la vérité » (1 Tim 3,15) a hérité d’un sens extraordinaire de la vérité qui lui a été donnée par Dieu.</span></span></p>
<p style=""margin:0px;font-size:15px;color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""><span style=""color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""><span style=""font-size:15px;"">II. Découvrir les fruits prodigieux que l’Église a engendrés, grâce à la prière qu’elle inspire, à la charité qu’elle ordonne, à la vérité qu’elle révèle.</span></span></p>
<p style=""margin:0px;font-size:15px;color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""><span style=""color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""><span style=""font-size:15px;"">III. Comprendre que l’Église intercède pour nous tous, avec force, jour et nuit et aux quatre coins de la Terre.</span></span></p>
<p style=""margin:0px;font-size:15px;color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""><span style=""color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""><span style=""font-size:15px;"">IV. Découvrir les dons qui lui viennent des promesses même du Christ et que l’Évangile nous présente.</span></span></p>
<p style=""margin:0px;font-size:15px;color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""></p>
<p style=""margin:0px;font-size:15px;color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""><span style=""color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""><span style=""font-size:15px;"">Le Christ a donné à l’Église la capacité de survivre à toutes les crises, en restant toujours la boussole du monde. Depuis plus de 2.000 ans, et encore récemment, l’Église a vécu beaucoup de convulsions mais elle continue d’assumer toutes ses missions.</span></span></p>
<p style=""margin:0px;font-size:15px;color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""><span style=""color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""><span style=""font-size:15px;"">L’Église ne fait pas que survivre, elle produit des fruits absolument extraordinaires.</span></span></p>
<p style=""margin:0px;font-size:15px;color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""><span style=""color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""><span style=""font-size:15px;"">L'Église est véritablement le « sacrement universel du Salut, le signe et l’instrument de l’union intime avec Dieu » (Concile Vatican II, Lumen Gentium n°1).</span></span></p>
<p style=""margin:0px;font-size:15px;color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""></p>
<p style=""margin:0px;font-size:15px;color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""><span style=""color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""><span style=""font-size:15px;"">Le livre LUMIÈRE DU MONDE ne cherche pas à défendre l’Église contre les opinions des hommes sur l'Église ou à protéger ceux qui en font partie ; il vous propose de vous approcher du plan de Dieu sur l’Église, d’y entrer et d’y participer.</span></span></p>";25-LOT10;9782491255169;978-2-491255-16-9;64.454976;68.00;6.100000;10.000000;5.500;"MDN Productions";;"Accueil, Mission";"https://editions.mariedenazareth.com/img/p/4/8//48.jpg, https://editions.mariedenazareth.com/img/p/4/9//49.jpg, https://editions.mariedenazareth.com/img/p/5/0//50.jpg";0;0;"2019-07-14 18:27:09";"2025-07-07 14:58:05"
26;"Jésus, le Messie attendu par Israël - Selon les prophéties bibliques";"<p>Le livre <em>Jésus le Messie</em> établit d’une manière historiquement incontestable que le Messie annoncé par les prophètes dans l’Ancien Testament est bien le Jésus du Nouveau Testament.</p>
<p>Cette attente du Messie, suscitée par de très nombreuses prophéties et leur accomplissement en Jésus, constitue l’une des grandes raisons de croire classiques.</p>
<p>Soyez missionnaire, achetez un lot !</p>";"<p>138 pages illustrées, format A5</p>";26-LOT10;9782491255251;978-2-491255-25-1;56.113744;59.20;6.000000;2.370000;5.500;"MDN Productions";"Quantité - Lot de 10 (-30%)";"Accueil, Livres, Mission";"https://editions.mariedenazareth.com/img/p/3/7/9/379.jpg, https://editions.mariedenazareth.com/img/p/3/8/0/380.jpg, https://editions.mariedenazareth.com/img/p/3/8/1/381.jpg, https://editions.mariedenazareth.com/img/p/3/8/2/382.jpg, https://editions.mariedenazareth.com/img/p/3/8/3/383.jpg, https://editions.mariedenazareth.com/img/p/5/7//57.jpg";474;1;"2019-10-17 18:31:18";"2025-04-03 17:52:19"
26;"Jésus, le Messie attendu par Israël - Selon les prophéties bibliques";"<p>Le livre <em>Jésus le Messie</em> établit d’une manière historiquement incontestable que le Messie annoncé par les prophètes dans l’Ancien Testament est bien le Jésus du Nouveau Testament.</p>
<p>Cette attente du Messie, suscitée par de très nombreuses prophéties et leur accomplissement en Jésus, constitue l’une des grandes raisons de croire classiques.</p>
<p>Soyez missionnaire, achetez un lot !</p>";"<p>138 pages illustrées, format A5</p>";26-UNITE;9782955534373;978-2-9555343-7-3;8.341232;8.80;0.610000;0.237000;5.500;"MDN Productions";"Quantité - Unité";"Accueil, Livres, Mission";"https://editions.mariedenazareth.com/img/p/3/7/9/379.jpg, https://editions.mariedenazareth.com/img/p/3/8/0/380.jpg, https://editions.mariedenazareth.com/img/p/3/8/1/381.jpg, https://editions.mariedenazareth.com/img/p/3/8/2/382.jpg, https://editions.mariedenazareth.com/img/p/3/8/3/383.jpg, https://editions.mariedenazareth.com/img/p/5/7//57.jpg";2648;1;"2019-10-17 18:31:18";"2025-04-03 17:52:19"
27;"(plus utilisé) Lot de 10 livrets - JESUS, LE MESSIE ATTENDU PAR ISRAËL - port offert";"<p>Découvrezles prophéties bibliques qui ont annoncé le Christ </p>";"<p style=""margin:0px;font-size:15px;color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""><span style=""color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""><span style=""font-size:15px;"">Tout au long de sa vie publique, Jésus fait comprendre à maintes reprises que “les écritures s’accomplissent”.</span></span></p>
<p style=""margin:0px;font-size:15px;color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""><span style=""color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""><span style=""font-size:15px;"">Ce fait de l’attente du Messie suscité par de très nombreuses prophéties et leur accomplissement en Jésus constitue l’une des grandes raisons de croire classiques.</span></span></p>
<p style=""margin:0px;font-size:15px;color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""><span style=""color:rgba(0,0,0,.87);font-family:BREEserif, Arial, sans-serif;""><span style=""font-size:15px;"">Cette attente a été unique au monde : aucun autre peuple dans le passé n’a jamais attendu un Messie qui soit venu à partir de prophéties qui ont été reconnues comme accomplies.</span></span></p>";27-LOT10;9782491255251;978-2-491255-25-1;64.454976;68.00;6.100000;10.000000;5.500;"MDN Productions";;"Accueil, Mission";"https://editions.mariedenazareth.com/img/p/6/0//60.jpg, https://editions.mariedenazareth.com/img/p/6/1//61.jpg, https://editions.mariedenazareth.com/img/p/6/2//62.jpg";0;0;"2019-11-07 18:31:07";"2025-07-07 14:58:05"
