"Référence Produit";ISBN;"Nom Produit";"Quantité en Stock";"Quantité Vendue November 2024";"Quantité Vendue 01 Dec 2023 - 30 Nov 2024XXX"
138-UNITE;978-2-491255-75-6;"(Edition annulée) Le Rosaire, les 20 mystères revisités - Version 2023 (Unité)";0;0;0
185-UNITE;;"(ne plus utiliser) Nos Magazines 1000 raisons de croire - N°Mag 1000 Raisons de croire: N°1 : Si tu existes, envoie-moi un signe !";0;0;260
185-UNITE;;"(ne plus utiliser) Nos Magazines 1000 raisons de croire - N°Mag 1000 Raisons de croire: N°2 : Les prophéties bibliques enfin décodées !";0;0;244
185-UNITE;;"(ne plus utiliser) Nos Magazines 1000 raisons de croire - N°Mag 1000 Raisons de croire: N°3 : Oui, anges et démons existent !";0;0;215
185-UNITE;;"(ne plus utiliser) Nos Magazines 1000 raisons de croire - N°Mag 1000 Raisons de croire: N°4 : Elle s'est manifestée 2400 fois !";1;0;258
185-UNITE;;"(ne plus utiliser) Nos Magazines 1000 raisons de croire - N°Mag 1000 Raisons de croire: N°5 : Ils reviennent de l'au-delà !";0;0;78
27-LOT10;978-2-491255-25-1;"(plus utilisé) Lot de 10 livrets - JESUS, LE MESSIE ATTENDU PAR ISRAËL - port offert (Unité)";0;0;0
25-LOT10;978-2-491255-16-9;"(plus utilisé) Lot de 10 livrets - LUMIÈRE DU MONDE - port offert (Unité)";0;0;0
24-LOT10;978-2-491255-26-8;"(plus utilisé) Lot de 10 livrets JOSEPH MODELE DE VIE - port offert (Unité)";0;0;0
30-LOT10;978-2-491255-19-0;"(plus utilisé) Lot de 10 livrets LE LINCEUL DE TURIN, nouvelle preuve de la résurrection du Christ - port offert (Unité)";0;0;0
21-LOT10;978-2-491255-28-2;"(plus utilisé) Lot de 10 livrets MARIE ET LA FRANCE - port offert (Unité)";0;0;0
66-LOT10;;"10 Stuck Packungen (AL) (Unité)";50;0;1
163-UNITE;;"1000 Raisons de croire (Unité)";0;0;0
249-UNITE;978-2-487056-41-1;"1000 Raisons de croire, la BD - Quantité: Lot de 7";0;1;1
249-UNITE;978-2-487056-41-1;"1000 Raisons de croire, la BD - Quantité: Unité";462;47;47
249-UNITE;978-2-487056-41-1;"1000 Raisons de croire, la BD - Quantité: Lot de 5";34;7;7
265-UNITE;;"1000 Raisons de croire, la BD n°2 (Unité)";0;0;0
51-UNITE;978-2-7509051-3-2;"365 méditations sur la Vierge Marie (Unité)";2;0;0
237-UNITE;978-2-35389-728-5;"A Jésus par Marie (Unité)";27;0;3
247-UNITE;;"Adieu Soulayman (Unité)";0;0;0
157-UNITE;;"Affiche A4 Marie qui défait les Noeuds - Nouvelle version - Quantité: Unité";25;2;27
157-UNITE;;"Affiche A4 Marie qui défait les Noeuds - Nouvelle version - Quantité: Lot de 10 (-33%)";136;0;9
46-UNITE;978-2-35689-008-5;"Affichette format A2 (Unité)";50;0;14
45-UNITE;978-2-35689-007-8;"Affichette format A3 (Unité)";115;0;0
32-UNITE;978-2-35689-006-1;"Affichette format A4 (Unité)";0;0;28
235-UNITE;978-2-38433-192-5;"Apprendre à prier_L'essentiel de l'art de la prière (Unité)";24;3;68
251-UNITE;978-2-487056-25-1;"Autocollants Marie qui défait les noeuds - Quantité: Unité";134;0;0
251-UNITE;978-2-487056-25-1;"Autocollants Marie qui défait les noeuds - Quantité: Lot de 4";14;0;0
176-UNITE;979-10-94998-85-4;"Bernadette et Lourdes _ L'enquête (Unité)";69;0;19
136-UNITE;978-2-491255-68-8;"Bernadette ne nous a pas trompés (Unité)";304;6;74
128-UNITE;;"Bougie de neuvaine Marie qui défait les noeuds - Quantité: Unité";5;3;3
128-UNITE;;"Bougie de neuvaine Marie qui défait les noeuds - Quantité: Lot de 6";1;3;3
113-UNITE;;"Bougies 100 étoiles pour Marie - Quantité: Lot de 4";6;4;4
113-UNITE;;"Bougies 100 étoiles pour Marie - Quantité: Unité";228;1;36
168-UNITE;978-2-491255-97-8;"Calendrier de l'Avent Marie qui défait les Noeuds - Quantité: Unité";1140;35;35
168-UNITE;978-2-491255-97-8;"Calendrier de l'Avent Marie qui défait les Noeuds - Quantité: Lot de 5";12;2;2
188-UNITE;370-0-00-027160-4;"Calendrier de Neuvaine à Saint Joseph pour la famille (Unité)";0;0;30
186-UNITE;370-0-00-027505-3;"Calendrier de neuvaine à saint Louis et sainte Zélie Martin (Unité)";36;0;10
187-UNITE;370-0-00-027280-9;"Calendrier de neuvaine à Sainte Marie-Madeleine apôtre des apôtres (Unité)";0;0;17
222-UNITE;;"Calendrier de neuvaine au Bienheureux Carlo Acutis (Unité)";2;1;27
114-UNITE;;"Carte image Marie qui défait les Noeuds - Quantité: Lot de 10 (-30%)";102;0;53
114-UNITE;;"Carte image Marie qui défait les Noeuds - Quantité: Unité";927;4;2039
114-UNITE;;"Carte image Marie qui défait les Noeuds - Quantité: Lot de 20";10;0;136
52-UNITE;978-2-35689-005-4;"Carte postale (Unité)";0;1;58
126-UNITE;;"Carte postale aux Coeurs Unis (Unité)";0;0;0
156-UNITE;978-2-491255-83-1;"Carte postale Marie qui défait les Noeuds - Nouvelle version - Quantité: Lot de 10 (-30%)";85;114;267
156-UNITE;978-2-491255-83-1;"Carte postale Marie qui défait les Noeuds - Nouvelle version - Quantité: Unité";9;47;123
150-UNITE;978-2-491255-89-3;"Carte postale Marie qui défait les Noeuds - Version originale - Quantité: Unité";34;0;58
150-UNITE;978-2-491255-89-3;"Carte postale Marie qui défait les Noeuds - Version originale - Quantité: Lot de 10 (-30%)";204;4;71
69-UNITE;;"Cartoloina Maria che scioglie i nodi (IT) (Unité)";858;0;0
56-UNITE;376-0-13237-798-8;"CD - prier le chapelet (Unité)";113;1;22
120-UNITE;;"Chapelet blanc en nylon (Unité)";64;1;73
47-UNITE;978-2-35689-010-8;"Chapelet en bois verni (Unité)";0;0;65
258-PACK1000RC;;"Collection des 5 premiers magazines 1000 raisons de croire (Unité)";59;31;40
215-UNITE;978-2-7403-1260-5;"Dieu est Amour (grands caractères)_encyclique de Benoît XVI (Unité)";26;0;20
223-UNITE;978-2266339-32-2;"Dieu la Science, les preuves _ Version poche (Unité)";191;0;197
109-UNITE;978-2-813225-85-6;"Dieu, la Science, les preuves (Unité)";128;2;72
103-GRATUIT;978-2-491255-58-9;"EDITION GRATUITE - La Vocation de la France - Servir les cœurs unis de Jésus et Marie (Unité)";1776;0;2
90-GRATUIT;978-2-491255-42-8;"EDITION GRATUITE Joseph, modèle de vie - Si important pour notre temps (Unité)";2469;1;5
89-GRATUIT;978-2-491255-22-0;"EDITION GRATUITE Le Linceul de Turin - Nouvelle preuve de la Résurrection du Christ (Unité)";792;0;5
91-GRATUIT;978-2-491255-17-6;"EDITION GRATUITE Lumière du Monde - La beauté de l'Église et le génie catholique (Unité)";4447;1;439
95-GRATUIT;978-2-4912554-7-3;"EDITION GRATUITE Maria Valtorta - Confirmation par la science (Unité)";330;9;910
98-GRATUIT;978-2-491255-43-5;"EDITION GRATUITE Marie et la France - Un lien extraordinaire à redécouvrir (Unité)";2900;101;377
144-GRATUIT;978-2-491255-24-4;"EDITION GRATUITE Marie et la France -Edition Notre Dame de Paris (Unité)";214;0;0
112-GRATUIT;978-2-491255-61-9;"EDITION GRATUITE Neuvaine de préparation pour se consacrer aux Cœurs Unis (Unité)";0;0;0
164-GRATUIT;;"EDITION GRATUITE Neuvaine Marie qui défait les noeuds (Unité)";16430;0;3260
139-UNITE;978-2-491255-74-9;"Et si c'était vrai ? La foi chrétienne à la loupe - Quantité: Unité";764;2;2
139-UNITE;978-2-491255-74-9;"Et si c'était vrai ? La foi chrétienne à la loupe - Quantité: Lot de 3";13;1;1
