"Référence Produit";ISBN;"Nom Produit";"Quantité en Stock";"Quantité Vendue January 2025";"Quantité Vendue 01 Feb 2024 - 31 Jan 2025XXX"
138-UNITE;978-2-491255-75-6;"(Edition annulée) Le Rosaire, les 20 mystères revisités - Version 2023 (Unité)";0;0;0
185-UNITE;;"(ne plus utiliser) Nos Magazines 1000 raisons de croire - N°Mag 1000 Raisons de croire: N°1 : Si tu existes, envoie-moi un signe !";0;0;255
185-UNITE;;"(ne plus utiliser) Nos Magazines 1000 raisons de croire - N°Mag 1000 Raisons de croire: N°2 : Les prophéties bibliques enfin décodées !";0;0;232
185-UNITE;;"(ne plus utiliser) Nos Magazines 1000 raisons de croire - N°Mag 1000 Raisons de croire: N°3 : Oui, anges et démons existent !";0;0;215
185-UNITE;;"(ne plus utiliser) Nos Magazines 1000 raisons de croire - N°Mag 1000 Raisons de croire: N°4 : Elle s'est manifestée 2400 fois !";1;0;258
185-UNITE;;"(ne plus utiliser) Nos Magazines 1000 raisons de croire - N°Mag 1000 Raisons de croire: N°5 : Ils reviennent de l'au-delà !";0;0;78
27-LOT10;978-2-491255-25-1;"(plus utilisé) Lot de 10 livrets - JESUS, LE MESSIE ATTENDU PAR ISRAËL - port offert (Unité)";0;0;0
25-LOT10;978-2-491255-16-9;"(plus utilisé) Lot de 10 livrets - LUMIÈRE DU MONDE - port offert (Unité)";0;0;0
24-LOT10;978-2-491255-26-8;"(plus utilisé) Lot de 10 livrets JOSEPH MODELE DE VIE - port offert (Unité)";0;0;0
30-LOT10;978-2-491255-19-0;"(plus utilisé) Lot de 10 livrets LE LINCEUL DE TURIN, nouvelle preuve de la résurrection du Christ - port offert (Unité)";0;0;0
21-LOT10;978-2-491255-28-2;"(plus utilisé) Lot de 10 livrets MARIE ET LA FRANCE - port offert (Unité)";0;0;0
66-LOT10;;"10 Stuck Packungen (AL) (Unité)";50;0;1
163-UNITE;;"1000 Raisons de croire (Unité)";0;0;0
249-UNITE;978-2-487056-41-1;"1000 Raisons de croire, la BD - Quantité: Lot de 7";0;0;1
249-UNITE;978-2-487056-41-1;"1000 Raisons de croire, la BD - Quantité: Unité";453;124;747
249-UNITE;978-2-487056-41-1;"1000 Raisons de croire, la BD - Quantité: Lot de 5";3;3;20
265-UNITE;;"1000 Raisons de croire, la BD n°2 (Unité)";0;0;0
51-UNITE;978-2-7509051-3-2;"365 méditations sur la Vierge Marie (Unité)";2;0;0
237-UNITE;978-2-35389-728-5;"A Jésus par Marie (Unité)";27;0;3
247-UNITE;;"Adieu Soulayman (Unité)";0;0;0
157-UNITE;;"Affiche A4 Marie qui défait les Noeuds - Nouvelle version - Quantité: Unité";22;1;20
157-UNITE;;"Affiche A4 Marie qui défait les Noeuds - Nouvelle version - Quantité: Lot de 10 (-33%)";128;0;8
46-UNITE;978-2-35689-008-5;"Affichette format A2 (Unité)";30;20;34
45-UNITE;978-2-35689-007-8;"Affichette format A3 (Unité)";95;20;20
32-UNITE;978-2-35689-006-1;"Affichette format A4 (Unité)";0;0;5
235-UNITE;978-2-38433-192-5;"Apprendre à prier_L'essentiel de l'art de la prière (Unité)";24;0;73
251-UNITE;978-2-487056-25-1;"Autocollants Marie qui défait les noeuds - Quantité: Unité";124;14;26
251-UNITE;978-2-487056-25-1;"Autocollants Marie qui défait les noeuds - Quantité: Lot de 4";13;0;1
