"Référence Produit";ISBN;"Nom Produit";"Quantité en Stock";"Quantité Vendue February 2025";"Quantité Vendue 01 Mar 2024 - 28 Feb 2025XXX"
138-UNITE;978-2-491255-75-6;"(Edition annulée) Le Rosaire, les 20 mystères revisités - Version 2023 (Unité)";0;0;0
185-UNITE;;"(ne plus utiliser) Nos Magazines 1000 raisons de croire - N°Mag 1000 Raisons de croire: N°1 : Si tu existes, envoie-moi un signe !";0;0;229
185-UNITE;;"(ne plus utiliser) Nos Magazines 1000 raisons de croire - N°Mag 1000 Raisons de croire: N°2 : Les prophéties bibliques enfin décodées !";0;0;210
185-UNITE;;"(ne plus utiliser) Nos Magazines 1000 raisons de croire - N°Mag 1000 Raisons de croire: N°3 : Oui, anges et démons existent !";0;0;202
185-UNITE;;"(ne plus utiliser) Nos Magazines 1000 raisons de croire - N°Mag 1000 Raisons de croire: N°4 : Elle s'est manifestée 2400 fois !";1;0;258
185-UNITE;;"(ne plus utiliser) Nos Magazines 1000 raisons de croire - N°Mag 1000 Raisons de croire: N°5 : Ils reviennent de l'au-delà !";0;0;78
27-LOT10;978-2-491255-25-1;"(plus utilisé) Lot de 10 livrets - JESUS, LE MESSIE ATTENDU PAR ISRAËL - port offert (Unité)";0;0;0
25-LOT10;978-2-491255-16-9;"(plus utilisé) Lot de 10 livrets - LUMIÈRE DU MONDE - port offert (Unité)";0;0;0
24-LOT10;978-2-491255-26-8;"(plus utilisé) Lot de 10 livrets JOSEPH MODELE DE VIE - port offert (Unité)";0;0;0
30-LOT10;978-2-491255-19-0;"(plus utilisé) Lot de 10 livrets LE LINCEUL DE TURIN, nouvelle preuve de la résurrection du Christ - port offert (Unité)";0;0;0
21-LOT10;978-2-491255-28-2;"(plus utilisé) Lot de 10 livrets MARIE ET LA FRANCE - port offert (Unité)";0;0;0
269-UNITE;978-2-487056-58-9;"(projet arrêté) Comment prier le chapelet (Unité)";0;0;0
66-LOT10;;"10 Stuck Packungen (AL) (Unité)";50;0;0
163-UNITE;;"1000 Raisons de croire (Unité)";0;0;0
249-UNITE;978-2-487056-41-1;"1000 Raisons de croire, la BD - Quantité: Lot de 7";0;0;1
249-UNITE;978-2-487056-41-1;"1000 Raisons de croire, la BD - Quantité: Unité";408;75;824
249-UNITE;978-2-487056-41-1;"1000 Raisons de croire, la BD - Quantité: Lot de 5";7;1;22
265-UNITE;;"1000 Raisons de croire, la BD n°2 (Unité)";0;0;0
51-UNITE;978-2-7509051-3-2;"365 méditations sur la Vierge Marie (Unité)";2;0;0
237-UNITE;978-2-35389-728-5;"A Jésus par Marie (Unité)";27;0;3
247-UNITE;;"Adieu Soulayman (Unité)";0;0;0
157-UNITE;978-2-491255-90-9;"Affiche A4 Marie qui défait les Noeuds - Nouvelle version - Quantité: Unité";19;3;19
157-UNITE;978-2-491255-90-9;"Affiche A4 Marie qui défait les Noeuds - Nouvelle version - Quantité: Lot de 10 (-33%)";128;1;9
46-UNITE;978-2-35689-008-5;"Affichette format A2 (Unité)";30;0;24
45-UNITE;978-2-35689-007-8;"Affichette format A3 (Unité)";95;0;20
32-UNITE;978-2-35689-006-1;"Affichette format A4 (Unité)";0;0;4
235-UNITE;978-2-38433-192-5;"Apprendre à prier_L'essentiel de l'art de la prière (Unité)";23;1;74
251-UNITE;978-2-487056-25-1;"Autocollants Marie qui défait les noeuds - Quantité: Unité";123;1;29
251-UNITE;978-2-487056-25-1;"Autocollants Marie qui défait les noeuds - Quantité: Lot de 4";13;0;1
176-UNITE;979-10-94998-85-4;"Bernadette et Lourdes _ L'enquête (Unité)";68;0;11
136-UNITE;978-2-491255-68-8;"Bernadette ne nous a pas trompés (Unité)";251;6;49
128-UNITE;;"Bougie de neuvaine Marie qui défait les noeuds - Quantité: Unité";147;5;59
128-UNITE;;"Bougie de neuvaine Marie qui défait les noeuds - Quantité: Lot de 6";8;0;3
113-UNITE;;"Bougies 100 étoiles pour Marie - Quantité: Lot de 4";4;3;7
113-UNITE;;"Bougies 100 étoiles pour Marie - Quantité: Unité";228;0;31
168-UNITE;978-2-491255-97-8;"Calendrier de l'Avent Marie qui défait les Noeuds - Quantité: Unité";1152;0;136
168-UNITE;978-2-491255-97-8;"Calendrier de l'Avent Marie qui défait les Noeuds - Quantité: Lot de 5";12;0;3
188-UNITE;370-0-00-027160-4;"Calendrier de Neuvaine à Saint Joseph pour la famille (Unité)";1;0;2
186-UNITE;370-0-00-027505-3;"Calendrier de neuvaine à saint Louis et sainte Zélie Martin (Unité)";35;0;4
187-UNITE;370-0-00-027280-9;"Calendrier de neuvaine à Sainte Marie-Madeleine apôtre des apôtres (Unité)";0;0;0
222-UNITE;;"Calendrier de neuvaine au Bienheureux Carlo Acutis (Unité)";2;0;24
114-UNITE;;"Carte image Marie qui défait les Noeuds - Quantité: Lot de 10 (-30%)";202;0;14
114-UNITE;;"Carte image Marie qui défait les Noeuds - Quantité: Unité";9485;0;877
114-UNITE;;"Carte image Marie qui défait les Noeuds - Quantité: Lot de 20";59;1;136
52-UNITE;978-2-35689-005-4;"Carte postale (Unité)";0;4;26
126-UNITE;;"Carte postale aux Coeurs Unis (Unité)";0;0;0
156-UNITE;978-2-491255-83-1;"Carte postale Marie qui défait les Noeuds - Nouvelle version - Quantité: Lot de 10 (-30%)";76;1;165
156-UNITE;978-2-491255-83-1;"Carte postale Marie qui défait les Noeuds - Nouvelle version - Quantité: Unité";30;1;95
150-UNITE;978-2-491255-89-3;"Carte postale Marie qui défait les Noeuds - Version originale - Quantité: Unité";33;2;40
150-UNITE;978-2-491255-89-3;"Carte postale Marie qui défait les Noeuds - Version originale - Quantité: Lot de 10 (-30%)";201;5;53
69-UNITE;;"Cartoloina Maria che scioglie i nodi (IT) (Unité)";851;0;0
56-UNITE;376-0-13237-798-8;"CD - prier le chapelet (Unité)";114;0;23
120-UNITE;;"Chapelet blanc en nylon (Unité)";70;2;82
47-UNITE;978-2-35689-010-8;"Chapelet en bois verni (Unité)";0;1;40
258-PACK1000RC;;"Collection des 5 premiers magazines 1000 raisons de croire (Unité)";24;20;91
215-UNITE;978-2-7403-1260-5;"Dieu est Amour (grands caractères)_encyclique de Benoît XVI (Unité)";27;0;10
223-UNITE;978-2266339-32-2;"Dieu la Science, les preuves _ Version poche (Unité)";181;1;170
109-UNITE;978-2-813225-85-6;"Dieu, la Science, les preuves (Unité)";120;3;45
44-UNITE;978-2-35689-000-9;"Edition Collector _lot de 10 neuvaines à Marie qui défait les noeuds - Quantité: Lot de 10";18;29;29
