"Référence Produit";ISBN;"Nom Produit";"Quantité en Stock";"Quantité Vendue April 2025";"Quantité Vendue 01 May 2024 - 30 Apr 2025XXX"
138-UNITE;978-2-491255-75-6;"(Edition annulée) Le Rosaire, les 20 mystères revisités - Version 2023 (Unité)";0;0;0
185-UNITE;;"(ne plus utiliser) Nos Magazines 1000 raisons de croire - N°Mag 1000 Raisons de croire: N°1 : Si tu existes, envoie-moi un signe !";0;0;192
185-UNITE;;"(ne plus utiliser) Nos Magazines 1000 raisons de croire - N°Mag 1000 Raisons de croire: N°2 : Les prophéties bibliques enfin décodées !";0;0;182
185-UNITE;;"(ne plus utiliser) Nos Magazines 1000 raisons de croire - N°Mag 1000 Raisons de croire: N°3 : Oui, anges et démons existent !";0;0;174
185-UNITE;;"(ne plus utiliser) Nos Magazines 1000 raisons de croire - N°Mag 1000 Raisons de croire: N°4 : Elle s'est manifestée 2400 fois !";1;0;255
185-UNITE;;"(ne plus utiliser) Nos Magazines 1000 raisons de croire - N°Mag 1000 Raisons de croire: N°5 : Ils reviennent de l'au-delà !";0;0;78
27-LOT10;978-2-491255-25-1;"(plus utilisé) Lot de 10 livrets - JESUS, LE MESSIE ATTENDU PAR ISRAËL - port offert (Unité)";0;0;0
25-LOT10;978-2-491255-16-9;"(plus utilisé) Lot de 10 livrets - LUMIÈRE DU MONDE - port offert (Unité)";0;0;0
24-LOT10;978-2-491255-26-8;"(plus utilisé) Lot de 10 livrets JOSEPH MODELE DE VIE - port offert (Unité)";0;0;0
30-LOT10;978-2-491255-19-0;"(plus utilisé) Lot de 10 livrets LE LINCEUL DE TURIN, nouvelle preuve de la résurrection du Christ - port offert (Unité)";0;0;0
21-LOT10;978-2-491255-28-2;"(plus utilisé) Lot de 10 livrets MARIE ET LA FRANCE - port offert (Unité)";0;0;0
269-UNITE;978-2-487056-58-9;"(projet arrêté) Comment prier le chapelet (Unité)";0;0;0
271-LOT25;978-2-487056-60-2;"(projet arrêté) Lot de 25 cartes prières Carlo Acutis (Unité)";0;0;0
272-LOT25;978-2-487056-61-9;"(projet arrêté) Lot de 25 cartes prières Image indulgenciée du sacré coeur (Unité)";0;0;0
270-LOT25;;"(projet arrêté) Lot de 25 cartes prières MQDLN (Unité)";0;0;0
66-LOT10;;"10 Stuck Packungen (AL) (Unité)";50;0;0
163-UNITE;;"1000 Raisons de croire (Unité)";0;0;0
249-UNITE;978-2-487056-41-1;"1000 Raisons de croire, la BD - Quantité: Lot de 7";0;0;1
249-UNITE;978-2-487056-41-1;"1000 Raisons de croire, la BD - Quantité: Unité";358;25;936
249-UNITE;978-2-487056-41-1;"1000 Raisons de croire, la BD - Quantité: Lot de 5";7;0;22
265-UNITE;;"1000 Raisons de croire, la BD n°2 (Unité)";0;0;0
51-UNITE;978-2-7509051-3-2;"365 méditations sur la Vierge Marie (Unité)";2;0;0
237-UNITE;978-2-35389-728-5;"A Jésus par Marie (Unité)";26;0;4
247-UNITE;;"Adieu Soulayman (Unité)";0;0;0
157-UNITE;978-2-491255-90-9;"Affiche A4 Marie qui défait les Noeuds - Nouvelle version - Quantité: Unité";17;1;19
157-UNITE;978-2-491255-90-9;"Affiche A4 Marie qui défait les Noeuds - Nouvelle version - Quantité: Lot de 10 (-33%)";128;0;8
46-UNITE;978-2-35689-008-5;"Affichette format A2 (Unité)";18;12;36
45-UNITE;978-2-35689-007-8;"Affichette format A3 (Unité)";83;12;32
32-UNITE;978-2-35689-006-1;"Affichette format A4 (Unité)";0;0;4
235-UNITE;978-2-38433-192-5;"Apprendre à prier_L'essentiel de l'art de la prière (Unité)";15;8;82
251-UNITE;978-2-487056-25-1;"Autocollants Marie qui défait les noeuds - Quantité: Unité";103;0;49
251-UNITE;978-2-487056-25-1;"Autocollants Marie qui défait les noeuds - Quantité: Lot de 4";12;0;2
176-UNITE;979-10-94998-85-4;"Bernadette et Lourdes _ L'enquête (Unité)";68;0;8
136-UNITE;978-2-491255-68-8;"Bernadette ne nous a pas trompés (Unité)";250;0;41
128-UNITE;;"Bougie de neuvaine Marie qui défait les noeuds - Quantité: Unité";128;3;63
