"Référence Produit";ISBN;EAN13;"Nom Produit";"Quantité en Stock";"Quantité Vendue June 2025";"Quantité Vendue 01 Jul 2024 - 30 Jun 2025XXX"
138-UNITE;978-2-491255-75-6;9782491255756;"(Edition annulée) Le Rosaire, les 20 mystères revisités - Version 2023 (Unité)";0;0;0
185-UNITE;;;"(ne plus utiliser) Nos Magazines 1000 raisons de croire - N°Mag 1000 Raisons de croire: N°1 : Si tu existes, envoie-moi un signe !";0;0;104
185-UNITE;;;"(ne plus utiliser) Nos Magazines 1000 raisons de croire - N°Mag 1000 Raisons de croire: N°2 : Les prophéties bibliques enfin décodées !";0;0;108
185-UNITE;;;"(ne plus utiliser) Nos Magazines 1000 raisons de croire - N°Mag 1000 Raisons de croire: N°3 : Oui, anges et démons existent !";0;0;96
185-UNITE;;;"(ne plus utiliser) Nos Magazines 1000 raisons de croire - N°Mag 1000 Raisons de croire: N°4 : Elle s'est manifestée 2400 fois !";1;0;137
185-UNITE;;;"(ne plus utiliser) Nos Magazines 1000 raisons de croire - N°Mag 1000 Raisons de croire: N°5 : Ils reviennent de l'au-delà !";0;0;68
27-LOT10;978-2-491255-25-1;9782491255251;"(plus utilisé) Lot de 10 livrets - JESUS, LE MESSIE ATTENDU PAR ISRAËL - port offert (Unité)";0;0;0
25-LOT10;978-2-491255-16-9;9782491255169;"(plus utilisé) Lot de 10 livrets - LUMIÈRE DU MONDE - port offert (Unité)";0;0;0
24-LOT10;978-2-491255-26-8;9782491255268;"(plus utilisé) Lot de 10 livrets JOSEPH MODELE DE VIE - port offert (Unité)";0;0;0
30-LOT10;978-2-491255-19-0;9782491255190;"(plus utilisé) Lot de 10 livrets LE LINCEUL DE TURIN, nouvelle preuve de la résurrection du Christ - port offert (Unité)";0;0;0
21-LOT10;978-2-491255-28-2;9782491255282;"(plus utilisé) Lot de 10 livrets MARIE ET LA FRANCE - port offert (Unité)";0;0;0
269-UNITE;978-2-487056-58-9;9782487056589;"(projet arrêté) Comment prier le chapelet (Unité)";0;0;0
271-LOT25;978-2-487056-60-2;9782487056602;"(projet arrêté) Lot de 25 cartes prières Carlo Acutis (Unité)";0;0;0
272-LOT25;978-2-487056-61-9;9782487056619;"(projet arrêté) Lot de 25 cartes prières Image indulgenciée du sacré coeur (Unité)";0;0;0
270-LOT25;;;"(projet arrêté) Lot de 25 cartes prières MQDLN (Unité)";0;0;0
66-LOT10;;;"10 Stuck Packungen (AL) (Unité)";49;1;1
163-UNITE;;;"1000 Raisons de croire (Unité)";0;0;0
249-UNITE;978-2-487056-41-1;9782487056411;"1000 Raisons de croire, la BD - Quantité: Lot de 7";0;0;1
249-UNITE;978-2-487056-41-1;9782487056411;"1000 Raisons de croire, la BD - Quantité: Unité";309;121;1138
249-UNITE;978-2-487056-41-1;9782487056411;"1000 Raisons de croire, la BD - Quantité: Lot de 5";4;1;25
265-UNITE;;;"1000 Raisons de croire, la BD n°2 (Unité)";0;0;0
51-UNITE;978-2-7509051-3-2;9782750905132;"365 méditations sur la Vierge Marie (Unité)";2;0;0
237-UNITE;978-2-35389-728-5;9782353897285;"A Jésus par Marie (Unité)";24;0;4
247-UNITE;;;"Adieu Soulayman (Unité)";161;0;0
157-UNITE;978-2-491255-90-9;9782491255909;"Affiche A4 Marie qui défait les Noeuds - Nouvelle version - Quantité: Unité";11;1;20
157-UNITE;978-2-491255-90-9;9782491255909;"Affiche A4 Marie qui défait les Noeuds - Nouvelle version - Quantité: Lot de 10 (-33%)";128;0;7
46-UNITE;978-2-35689-008-5;9782356890085;"Affichette format A2 (Unité)";18;0;36
45-UNITE;978-2-35689-007-8;9782356890078;"Affichette format A3 (Unité)";75;8;40
32-UNITE;978-2-35689-006-1;9782356890061;"Affichette format A4 (Unité)";0;0;4
235-UNITE;978-2-38433-192-5;9782384331925;"Apprendre à prier_L'essentiel de l'art de la prière (Unité)";11;0;74
251-UNITE;978-2-487056-25-1;9782487056251;"Autocollants Marie qui défait les noeuds - Quantité: Unité";94;5;61
251-UNITE;978-2-487056-25-1;9782487056251;"Autocollants Marie qui défait les noeuds - Quantité: Lot de 4";12;0;2
176-UNITE;979-10-94998-85-4;9791094998854;"Bernadette et Lourdes _ L'enquête (Unité)";65;1;10
136-UNITE;978-2-491255-68-8;9782491255688;"Bernadette ne nous a pas trompés (Unité)";248;4;38
128-UNITE;;;"Bougie de neuvaine Marie qui défait les noeuds - Quantité: Unité";88;2;78
128-UNITE;;;"Bougie de neuvaine Marie qui défait les noeuds - Quantité: Lot de 6";6;0;5
113-UNITE;;;"Bougies 100 étoiles pour Marie - Quantité: Lot de 4";1;2;12
113-UNITE;;;"Bougies 100 étoiles pour Marie - Quantité: Unité";196;0;18
168-UNITE;978-2-491255-97-8;9782491255978;"Calendrier de l'Avent Marie qui défait les Noeuds - Quantité: Unité";1152;0;136
168-UNITE;978-2-491255-97-8;9782491255978;"Calendrier de l'Avent Marie qui défait les Noeuds - Quantité: Lot de 5";12;0;3
188-UNITE;370-0-00-027160-4;3700000271604;"Calendrier de Neuvaine à Saint Joseph pour la famille (Unité)";0;0;0
186-UNITE;370-0-00-027505-3;3700000275053;"Calendrier de neuvaine à saint Louis et sainte Zélie Martin (Unité)";34;0;2
187-UNITE;370-0-00-027280-9;3700000272809;"Calendrier de neuvaine à Sainte Marie-Madeleine apôtre des apôtres (Unité)";0;0;0
222-UNITE;;3700000275077;"Calendrier de neuvaine au Bienheureux Carlo Acutis (Unité)";0;2;9
114-UNITE;;;"Carte image Marie qui défait les Noeuds - Quantité: Lot de 10 (-30%)";202;0;11
114-UNITE;;;"Carte image Marie qui défait les Noeuds - Quantité: Unité";9482;0;335
